foto 3
pin 1
X (um)	Y (um)
619.33	613.33

pin 2
X (um)	Y (um)
759.33	110.67

celulas
X (um)	Y (um)	TIPO	PB
202.667	256.667	4	1
204.667	241.111	4	1
234.889	238.889	4	1
228.667	224.667	4	1
200.222	233.778	4	1
258.667	241.778	3	1
253.778	251.556	3	1
229.556	248.889	3	1
324	242.444	3	1
340.222	242.222	3	1
319.111	232	3	1
278.444	213.333	4	1
304.444	225.111	4	1
211.778	216.667	4	1
290.444	259.333	4	1
311.333	243.333	3	1
227.778	270.889	3	1
240.222	272.444	3	1
262.222	265.111	3	1
274.222	254	3	1
280.444	240.222	3	1
243.556	246.667	3	1
335.333	258.889	5	0.5
249.333	287.778	5	0.5
294.889	305.556	5	1
212.889	299.333	5	1
294.667	275.222	5	1
319.111	318.333	5	1
344.222	329.444	5	1
241.111	332.556	5	1
247.111	354	5	1
319.778	415	5	1
232.222	307.222	4	1
286	321.444	4	1
277.111	335.444	4	1
262.444	355.444	4	1
303.556	354.778	4	1
279.333	317.667	4	1
315.556	354.556	4	1
319.778	368.778	4	1
339.111	372.111	4	1
292.222	383	4	1
285.778	411.222	4	1
269.111	421.889	4	1
350.889	422.556	5	1
381.778	480.444	5	1
362.889	469.556	5	1
363.111	266	5	1
342.889	275.333	5	0.5
341.333	304.444	5	0.5
374.889	324.556	5	0.5
363.111	223.556	4	1
379.556	209.778	4	1
398	314.667	4	1
373.556	370.556	4	1
349.556	357.222	4	1
368.444	397.222	4	1
309.111	420.889	4	1
389.778	302.333	4	1
392.222	245.444	4	1
371.111	202.556	4	1
353.778	203.222	4	1
436	226.444	5	1
414.444	184.444	5	1
494.222	375.889	5	1
420.222	407.889	5	1
414	479	5	1
495.556	448.556	5	1
500.222	430.333	5	1
516.889	489.111	5	1
460.222	415.111	4	0.3
444.889	383.667	4	0.3
414.444	329.556	4	0.3
389.778	452.778	4	0.5
416.667	508.778	4	0.7
519.778	170.889	4	0.7
551.111	177.333	4	0.7
458.889	149.333	4	1
479.556	144.889	4	1
502.667	125.778	4	1
472.444	115.556	4	1
487.111	186.889	4	1
516.889	216	4	1
453.333	266.889	4	1
462	344.111	4	1
468	298.778	4	1
410.444	375.889	4	1
479.556	505.333	4	1
473.556	559.556	4	1
506.667	527.333	4	1
522.889	518.889	4	1
467.778	618.111	4	1
475.556	585.667	4	1
404.889	543.222	4	1
504.222	540.111	3	1
508.889	573.667	3	1
490.222	569.889	3	1
498.444	569.222	3	1
457.333	518.556	3	1
446.889	515.667	3	1
486.889	492.778	3	1
509.778	493.222	3	1
476.889	346.333	3	1
466.889	311.889	3	1
537.556	274.667	3	1
544.667	230.444	3	1
476.667	256.889	3	1
394.889	423.556	3	1
410.222	412	3	1
380.222	440.222	3	1
340.667	393.333	3	1
436.667	593	3	1
688.222	514.778	3	1
702.889	504.778	3	1
658	482.778	3	1
626.889	455.222	3	1
670.889	451.222	3	1
627.333	345.222	3	1
646.889	307.889	3	1
621.778	259.111	3	1
562.778	221.111	5	1
593.667	240.889	5	1
546.778	588.556	5	1
649	548.333	4	0.3
645.444	484.111	4	0.5
624.778	420.778	4	0.5
613.222	349	4	0.5
620.778	311.889	4	0.3
593.444	194.778	4	0.7
602.333	182	4	0.7
582.333	162.667	4	0.5
601	144.889	4	0.3
613.222	104.556	4	0.7
558.556	128.556	4	1
580.111	135	4	1
529	139.889	4	1
512.778	144.778	4	1
483.889	131.889	4	1
619.889	186.889	4	1
608.556	288.333	4	1
591.889	325.333	4	1
599.889	365.556	4	1
628.333	392	4	1
629.889	585.667	4	1
625.667	560.778	4	1
409.111	579.444	4	1
410.667	603.444	4	1
456	485	4	1
423.556	451.444	4	1
358.444	606.333	4	1
349.778	544.111	4	1
358.222	494.111	4	1
374	591.889	3	1
457.333	564.333	3	1
452.667	605	3	1
483.111	607.667	3	1
460.222	445.444	3	1
608	214.667	3	1
611.333	226.222	3	1
642	231.111	3	1
638.444	213.778	3	1
676.222	192.444	3	1
657.778	247.556	3	1
661.111	303.778	3	1
666	345	3	1
689.556	419.889	3	1
685.111	475.111	3	1
678.222	570.333	3	1
736.111	596.778	3	1
791.889	583.889	3	1
818.111	587.889	3	1
778.556	547.889	3	1
740.111	583.667	4	1
803.889	539.444	4	1
824.556	534.111	4	1
753.889	501.444	4	1
747	457.889	4	1
719.444	429.111	4	1
672.778	314.222	4	1
771.222	346.444	4	1
747.444	271.111	4	1
723.889	268.444	4	1
695.889	281.333	4	1
670.333	276	4	1
697.889	355.111	4	1
707.556	235.667	4	1
726.222	220.778	4	1
737.333	220.778	4	1
734.444	199.889	4	1
692.667	173.222	4	1
673.111	158.778	4	1
661.333	161.444	4	1
644.889	181.444	4	1
723.111	144.556	4	1
762.889	126.778	4	1
652.778	153.333	4	1
673.444	117.778	4	1
704.111	153.778	4	0.3
740.111	136.444	4	0.3
756.778	117.333	4	0.3
738.556	95.778	4	0.7
679.444	72.667	4	0.7
656.778	99.111	4	0.5
672.333	96	4	0.3
830.778	340.778	4	0.7
808.556	139.556	4	1
833.222	138.889	4	1
795.222	112.667	4	1
786.778	126.889	4	1
813.889	100	4	1
758.778	71	4	1
733	184.222	4	1
812.333	172.222	4	1
834.333	215.333	4	1
832.778	245.778	4	1
766.111	183.556	4	1
810.778	294.444	4	1
753.222	227.111	3	0.5
801.667	185.556	3	0.5
811.444	378.556	3	0.5
785	388.778	3	0.5
815	506.444	3	0.3
844.556	509.333	3	0.3
846.333	520	3	0.3
706.111	563.222	3	0.7
850.111	579.667	3	0.5
777.222	485.333	3	0.3
764.111	417.556	3	0.7
752.778	169.889	3	0.7
797.889	145.333	4	0.5
797.444	456	4	0.7
840.111	415.778	4	0.3
665.667	404.889	4	0.7
763.444	552.778	4	0.3
784.333	163.222	4	0.5
843.222	186.333	4	0.3
822.778	193.667	4	0.7
814.111	626.222	5	1
719.889	626.222	5	1
687.667	629.556	5	1
637.889	621.111	5	1
548.556	559.778	5	1
593.222	632	5	1
532.889	592	5	1
359.222	622.222	4	1
338.111	552.444	4	1
292.111	566.222	4	1
327	478.889	4	1
329.444	468	4	1
305.889	506.889	4	1
243.667	549.333	2	1
242.111	564.667	2	1
257.667	574	2	1
267.889	579.556	2	1
251.889	592.667	2	1
259.222	540.444	2	1
280.556	545.778	2	1
278.778	558.667	2	1
279.444	622.889	2	1
274.111	633.778	2	1
280.778	594.667	2	1
274.556	502.556	5	1
261.889	492.556	5	1
267	476.556	5	1
295	458.556	5	1
252.111	444.222	5	1
244.778	510	5	1
813.111	239.222	3	1
751.778	374.556	3	1
711.333	380.333	3	1
728.667	358.556	3	1
831.778	493.222	3	1
810.444	491.444	3	1
714.889	477.222	3	1
766.889	439.444	3	1
618.667	474.333	3	1
625.333	493.333	3	1
638.667	493	3	1
644	457	3	1
790.333	404.667	3	1
662.667	380.333	3	1
688.667	392	3	1
826	262.333	3	1
828	278.333	3	1
845	331.667	3	1
848	350	3	1
482.667	156.667	3	1
470	177.667	3	1
447	165.667	3	1
454	192.333	3	1
463	218.667	3	1
411	270.333	3	1
518.333	253.333	3	1
580.333	255.667	3	1
555.333	330.333	3	1

limite foto
X(um)	Y(um)
853	65.667
776	59.667
725	53.833
680.5	55.5
624.5	63.167
595.667	70.667
566.5	75.833
529.833	73
473.333	89.667
449.167	103.5
425.333	120.667
405	140.667
383.167	145
359.333	177.167
323	201.333
300	202.833
283.667	195.5
223.667	200.667
204	214.333
190.833	218
143	254.5
173	314
202.333	491.5
234.333	639.667
853	639.667

limite tejido
X (um)	Y (um)
148.333	232.167
153.5	229.333
157	227.333
159	224.333
162	222.5
164	220
168.333	217.833
173.167	215.167
178.5	209.833
181.333	213.833
185.5	217.833
190.833	218
204	214.333
210	208.167
213.667	202.667
223.667	200.667
233.833	203.833
241.167	205.167
250.5	205.667
257.667	202.167
271	200.667
278.167	201.5
283.667	195.5
289.5	200.333
295.167	202.5
300	202.833
305	203.333
311.333	203.167
315.833	200.667
323	200
332.667	197.5
339.5	196.667
343.667	191.167
348.167	189.667
355.833	183.5
359.333	177.167
363.333	169.833
367.833	162.333
373.167	157.333
376.5	151
383.167	145
393.5	142.333
405.167	136.833
410	135
413	131.667
