experiment

dia 0

espesor 100 //um



foto 3

foto 2

ancho lesion  0 // um

pin 1
X (um)	Y (um)
146.333	562.333

pin 8
X (um)	Y (um)
169.667	474.333

pin 10
X (um)	Y (um)
157.333	107.333

celulas
X (um)	Y (um)	TIPO	PB
535.111	299.333	3	1
752.444	380.222	3	1
774.667	383.778	3	1
817.333	379.333	3	1
787.556	400.222	3	1
761.778	395.778	3	1
592.889	341.556	3	1
689.333	360.778	3	1
568	306.111	3	1
519.556	280.778	3	1
503.222	270.778	3	1
501	247.222	3	1
340.556	148.333	3	1
375.667	169.222	3	1
389	146.556	3	1
142.778	58.222	3	1
121.889	44	3	1
248.556	78.222	3	1
291.222	93.778	3	1
378.778	135.111	3	1
174.333	31.111	3	1
218.778	65.333	3	1
210.333	92.889	3	1
221	124.889	3	1
251.222	123.556	3	1
569.111	384	3	1
500.667	332.889	3	1
808	402.111	3	1
734.667	407.444	3	1
698.667	402.556	3	1
325.444	124	3	1
324.111	180.111	3	1
177.444	103.667	3	0.3
281.889	114.778	3	0.3
280.111	134.778	3	0.5
321.444	141	3	0.5
159.222	162.333	3	0.7
153.444	45.333	3	0.3
157.889	16.889	3	0.5
341.889	259.111	3	0.3
97	249.444	3	0.5
160.111	253.889	3	0.3
177	418	3	0.3
391.667	299.556	3	0.3
384.556	263.111	3	0.7
431.667	268.444	3	0.7
561.667	338.556	3	0.7
531.889	337.667	3	0.3
553.222	351.889	3	0.5
509.222	462.444	3	0.5
258.556	532.667	3	0.7
758.222	426	3	0.7
797.778	419.333	3	0.3
636.444	381.111	3	0.5
616.444	348.222	3	0.5
560.444	387.778	3	0.3
800	483.333	3	0.3
662.222	387.667	3	0.7
515.111	298.778	3	0.7
326	212.667	3	0.5
354	224.667	3	0.3
258.444	152.222	3	0.7
186.444	89.111	3	0.7
336.222	385.778	3	0.7
165.556	406.667	3	0.5
156.222	383.111	3	0.7
213.111	354.667	3	0.7
173.111	325.778	3	0.5
285.111	350.222	3	0.3
242.889	357.778	3	0.5
122	72	3	0.5
142.444	70.667	1	1
163.333	61.333	1	1
200.222	132	1	1
293.556	159.111	1	1
309.556	156	1	1
252.667	185.444	1	1
166.889	225.889	1	1
110	169.444	1	1
285.111	275.333	1	1
312.222	239.778	1	1
362	310.667	1	1
373.556	298.222	1	1
366	280	1	1
298	314.333	1	1
126.444	413	1	1
138.444	548.111	1	1
126.444	521.444	1	1
85.111	562	1	1
122	538.444	1	1
263.778	602.889	1	1
205.111	632.667	1	1
314	497.667	1	1
314	475.444	1	1
343.778	458.556	1	1
382.889	399.889	1	1
366.889	398.556	1	1
386.889	381.222	1	1
374.444	363.889	1	1
214	225.667	1	1
83.778	331	1	1
204.222	332.333	1	1
443.222	413.111	1	1
479.222	495.333	1	1
529.444	363.222	1	1
517.444	325	1	1
503.222	301.889	1	1
453.444	347.333	1	1
425.889	232.333	1	1
465.444	295.889	1	1
653.444	542	1	1
532.111	520.333	1	1
589.444	499.444	1	1
601.444	447.444	1	1
532.556	408.333	1	1
523.222	450.111	1	1
430.778	467	1	1
397.889	459.444	1	1
378.778	523.444	1	1
488.556	609.111	1	1
559.222	620.667	1	1
333.889	543.778	1	1
696.111	421.556	1	1
635.222	442	1	1
583.222	400.222	1	1
554.778	410.889	1	1
573.444	393.556	1	1
484.111	380.222	1	1
407.222	382.444	1	1
392.111	366	1	1
436.556	304.222	1	1
449.444	325.111	1	1
408.111	272.889	1	1
403.667	256.889	1	1
381.444	233.778	1	1
381.444	200.889	1	1
330.778	165.778	1	1
203.889	284.667	1	1
223.444	288.222	1	1
162.556	306.444	1	1
202.556	243.333	1	1
147.444	205.111	1	1
143	221.111	1	1
217.222	173.556	1	1
240.333	150.889	1	1
157.222	107	1	1
181.222	148.778	1	1
129.667	152.333	1	1
299.889	410.333	1	1
431.444	443	1	1
335.889	597.111	1	1
235	627.778	1	1
235.444	589.556	1	1
350.333	538.889	1	1
314.778	525.111	1	1
157.444	442.444	1	1
115.556	464.222	1	1
92	552.222	1	1
117.333	571.333	1	1
107.556	588.222	1	1
131.556	606.444	1	1
184.444	388.444	1	1
142.667	283.667	1	1
186.222	279.667	1	1
301.333	333.889	1	1
196	200.667	1	1

limite tejido
X (um)	Y (um)
117.778	0
129.333	0.889
144	3.556
155.111	5.778
178.667	10.667
192.889	17.333
210.667	24.889
224.444	42.667
244.444	49.333
264	56.889
281.778	72.444
297.778	72.889
304.889	72.889
313.778	84.889
328.889	96
349.333	110.222
368	119.556
383.111	124.556
391.556	131.222
413.778	149
435.556	161.444
451.556	180.556
463.111	201.889
470.222	217.889
487.111	229.889
497.333	231.667
519.556	254.333
549.333	275.222
564.222	287.333
572.667	293.111
590.444	294.889
606.444	300.222
623.778	310
642.444	309.111
650	321.556
658.889	341.111
677.556	345.111
723.778	354.444
742.889	352.222
784.222	345.556
813.111	333.556
832.667	342
838	354.889
851.333	353.111

limite lesion
X (um)	Y (um)
851.556	356
852.444	390.667
852.444	488.889
852.889	503.778
852.444	514.444
852.444	530.889
852	549.556
851.556	558
852	566.889
852.444	571.333
852	584.222
851.556	595.333
852.889	603.778
852.889	611.778
852.889	619.333
852.889	629.111
852.889	638

limite foto
X (um)	Y (um)
117.778	0
129.333	0.889
144	3.556
155.111	5.778
178.667	10.667
192.889	17.333
210.667	24.889
224.444	42.667
244.444	49.333
264	56.889
281.778	72.444
297.778	72.889
304.889	72.889
313.778	84.889
328.889	96
349.333	110.222
368	119.556
383.111	124.556
391.556	131.222
413.778	149
435.556	161.444
451.556	180.556
463.111	201.889
470.222	217.889
487.111	229.889
497.333	231.667
519.556	254.333
549.333	275.222
564.222	287.333
572.667	293.111
590.444	294.889
606.444	300.222
623.778	310
642.444	309.111
650	321.556
658.889	341.111
677.556	345.111
723.778	354.444
742.889	352.222
784.222	345.556
813.111	333.556
832.667	342
838	354.889
851.333	353.111
852.444	466.556
852	562.444
804.444	596.667
720	612.222
674.222	638
196	636.222
92	585.556
76.444	559.333
120	401.111
108	346.556
71.556	312.778
100.889	206.889
108.444	0

vaso
X (um)	Y (um)
133.778	118.333
126.667	118.333
121.778	122.333
122.667	130.778
130.667	129

vaso
X (um)	Y (um)	
119.556	248.111
125.778	241.889
120.444	237.889
114.222	241
114.667	245.444

vaso
X (um)	Y (um)	
195.111	169
185.333	168.111
182.667	177
191.111	181
198.667	177.889

vaso
X (um)	Y (um)	
243.111	370.667
229.778	374.667
211.111	414.667
199.556	443.556
195.556	459.556
186.667	483.111
190.222	507.778
180.889	534.889
170.222	564.667
170.667	575.778
167.111	604.667
176.13	615.982
202.502	604.68
209.095	584.901
222.281	552.877
237.351	532.156
253.363	512.377
265.607	492.597
279.735	454.923
278.793	406.887
269.375	377.689
	
vaso
X (um)	Y (um)
131.111	466.222
123.111	471.556
122.222	476
129.778	480
135.111	476

vaso
X (um)	Y (um)	
150.222	519.111
144	524.444
147.556	536
154.667	533.778
158.667	525.778

vaso
X (um)	Y (um)	
159.556	337.889
151.556	343.667
152.444	355.222
159.556	349
164	345.444

vaso
X (um)	Y (um)	
261.333	268.778
248.889	272.778
244.889	282.111
249.333	294.556
259.111	286.556

vaso
X (um)	Y (um)	
361.778	199.889
364.889	194.111
359.111	191
352.444	197.667
354.667	204.333

vaso
X (um)	Y (um)	
338.667	291.444
332.444	295.889
332.444	303.889
338.222	312.333
348.444	305.222

vaso
X (um)	Y (um)	
304	429.444
298.222	431.667
297.333	441
306.222	438.333
310.667	432.556

vaso
X (um)	Y (um)	
352.444	462.778
341.778	467.667
343.111	483.222
353.333	478.333
357.333	471.222

vaso
X (um)	Y (um)	
345.333	500.111
335.111	500.556
332	514.333
342.667	516.111
350.222	509

vaso
X (um)	Y (um)	
402.333	423.778
395.222	422.444
387.667	430.444
392.556	435.778
403.222	433.556

vaso
X (um)	Y (um)	
422.333	485.111
405.889	485.556
408.111	498.889
420.111	500.667
434.778	500.667

vaso
X (um)	Y (um)	
463.111	611.778
449.778	615.778
432.444	616.222
409.333	617.556
399.111	627.778
392.889	636.222
401.778	637.111
417.333	630.889
428.889	623.333
449.778	626.444
469.333	624.222
476	617.556

vaso
X (um)	Y (um)	
587.111	449.556
570.222	451.778
559.556	456.667
544	466.444
552.444	474.889
565.778	463.778
576	467.778
585.778	466.889

vaso
X (um)	Y (um)	
482.222	567.333
483.556	555.778
474.667	549.111
460.444	551.778
464.889	558.444
466.222	566
459.111	562.889
451.556	564.222
452.444	573.556
461.333	579.778
468.444	574.444
475.556	574.444

vaso
X (um)	Y (um)	
490.667	446.778
484.889	441
476.889	448.111
482.222	457.444
490.222	456.111

vaso
X (um)	Y (um)	
469.778	375
461.778	370.111
455.556	381.222
465.778	387.889
472.444	385.667

vaso
X (um)	Y (um)	
635.111	474.556
623.556	477.222
634.667	486.556
640.444	484.333
642.667	477.667

vaso
X (um)	Y (um)	
645.778	412.778
636.889	418.556
636.889	424.778
643.556	425.667
651.111	420.333

vaso
X (um)	Y (um)	
541.333	501.556
547.111	493.556
538.222	485.556
530.667	488.222
528.444	499.333

vaso
X (um)	Y (um)	
622.667	570.889
612.444	571.333
600	580.222
603.111	585.556
613.333	586.889
620.889	591.333
628.889	586.889
630.222	579.778

vaso
X (um)	Y (um)	
680.444	487.778
673.333	487.333
671.556	492.222
667.111	497.556
664.444	506.889
677.333	504.222
689.778	506
703.111	503.333
706.667	493.556
698.222	489.111
688.444	487.333

vaso
X (um)	Y (um)	
754.667	442
768	438.444
764	431.778
752	431.778
748.889	437.111

vaso
X (um)	Y (um)	
791.111	514.444
785.778	519.333
786.222	526.444
795.556	525.556
798.222	518.444

vaso
X (um)	Y (um)	
848.889	508.222
826.667	521.556
821.778	533.556
803.111	547.778
770.222	556.222
756.889	571.333
748	579.778
726.667	583.778
708.444	588.222
691.556	596.667
676.444	609.111
662.222	617.111
644	626.889
629.333	633.556
639.111	638
655.111	637.111
668.889	637.111
676	629.556
700	617.556
721.333	602.889
737.333	594.889
752.444	590
779.556	590.889
807.111	589.111
826.667	576.222
837.778	565.556
844	548.222
840.889	540.222
850.667	544.222

foto 3
pin 1
X (um)	Y (um)
98	35.333

pin 2
X (um)	Y (um)
263	546

pin 5
X (um)	Y (um)
30.667	617.667

pin 6
X (um)	Y (um)
42.222	25.333

celulas
X (um)	Y (um)	TIPO	PB
731.556	92.444	1	1
739.111	121.333	1	1
780	100	1	1
805.778	109.333	1	1
655.556	91.111	1	1
696	160	1	1
632	176	1	1
569.778	205.333	1	1
552.444	210.667	1	1
719.556	235.556	1	1
558.222	287.778	1	1
523.111	282.444	1	1
