experiment

dia 0  //3 contralateral

espesor 100 //um

rata 1

area de lesion 0 //um2

celulas
x(um)	y(um)	Tipo	Pb
813.3333333	1368.444333	2	1
700.2223333	1347.555667	2	1
763.3333333	1325.555667	2	1
711.7776667	1315.111	2	1
734.889	1286.555667	2	1
761.111	1215.111	2	1
831.111	1194	2	1
837.3333333	1164	2	1
812.3333333	1154	2	1
851.7776667	1149.333333	2	1
882.6666667	1077.555667	2	1
885.6666667	1034.666667	2	1
910.111	1020.222333	2	1
1457.666667	872.7776667	2	1
1507.333333	843.889	2	1
1609.222333	898.7776667	2	1
1701.333333	875.2223333	2	1
1622	839.4443333	2	1
1568.222333	819.889	2	1
1764.444333	866.4443333	2	1
1739.333333	904.4443333	2	1
1669.333333	926	2	1
1858	969	2	1
1916.777667	859.4443333	2	1
2032.555667	883.6666667	2	1
2073.889	880.5556667	2	1
2197.444333	841.2223333	2	1
2297.666667	827.889	2	1
2156.444333	917.6666667	2	1
2449.666667	847.7776667	2	1
2724.666667	928.6666667	2	1
2864.444333	953.7776667	2	1
2830.889	963.3333333	2	1
2881.444333	1015.222333	2	1
3001	986.5556667	2	1
3268.222333	1127.666667	2	1
3233.555667	1149.666667	2	1
3219.666667	1196.555667	2	1
3484.111333	1695.555667	2	1
3275.444333	1935.333333	2	1
3173.889	1880.777667	2	1
3037.555667	1840.333333	2	1
2979	1835	2	1
2624.666667	1632.111	2	1
2656.444333	1664.111	2	1
2417.111	1648	2	1
2178.889	1640.555667	2	1
2230.666667	1607	2	1
2095.444333	1659.555667	2	1
2081	1661.777667	2	1
2005.222333	1707.555667	2	1
1857.889	1654	2	1
2069	1603.889	2	1
1796.889	1664.666667	2	1
1692.111	1707.333333	2	1
1544.666667	1732.889	2	1
1449.222333	1743.444333	2	1
1329.444333	1846.111	2	1
1312.444333	1915.111	2	1
1281.889	1975.777667	2	1
1261.666667	2018.222333	2	1
1175.666667	2217.666667	2	1
1142.111	2176.111	2	1
940.111	2499.889	2	1
848.889	2616.333333	2	1
698.6666667	2606.666667	2	1
604.7776667	2212.777667	2	1
558.6666667	2015.777667	2	1
616.5556667	1935.889	2	1
664.3333333	1898.111	2	1
1382.777667	1735.889	2	1
1500.555667	1649.333333	2	1
1633.222333	1620.444333	2	1
1686.777667	1573.444333	2	1
1576.889	1475.666667	2	1
1630.666667	1449.444333	2	1
1460.333333	1429.444333	2	1
1630.333333	973	2	1
1510.666667	1091.777667	2	1
1265.889	1208.555667	2	1
1287.222333	1319	2	1
1354.222333	1517.889	2	1
1318.555667	1557.222333	2	1
1534.111	1685.555667	2	1
1563	1687.111	2	1
1494	1577.777667	2	1
1614	1528.777667	2	1
2210.333333	1434.222333	2	1
2176.444333	1326.333333	2	1
2187.333333	1280.333333	2	1
2092.333333	1222.222333	2	1
2272.777667	860.111	2	1
3170.111	1911.666667	2	1
3275.555667	1795.666667	2	1
3198.666667	1761.222333	2	0.5
2820.222333	1450.111	2	0.5
3087.555667	1274.555667	2	0.5
3268	1310.111	2	0.5
3345.333333	1237.889	2	0.5
3322.666667	1205.444333	2	0.5
3454.111333	1174.555667	2	0.3
3307.222333	1117.889	2	0.5
3298.777667	1065.111	2	0.5
3005.222333	1099.555667	2	0.5
3035.222333	1102.666667	2	0.5
2873	1047.222333	2	0.7
2752.111	1137.666667	2	0.7
2455.666667	1408.111	2	0.5
2324.222333	1564.222333	2	0.7
2275.111	1555.111	2	0.3
2263.333333	1585	2	0.3
2298.777667	1383.111	2	0.3
2356.444333	1222.889	2	0.5
2369.333333	1189.111	2	0.3
2352.889	951.111	2	0.5
2476.666667	921.3333333	2	0.5
2239.444333	852.889	2	0.5
2274.666667	973.3333333	2	0.7
2082.777667	919.4443333	2	0.7
1720.333333	1150	2	0.7
1713.222333	1190.111	2	0.3
1695.222333	1241.222333	2	0.5
1565	1219.111	2	0.5
1530.555667	1208.889	2	0.7
1523	1363.666667	2	0.5
1477.111	1665.777667	2	0.5
1498.222333	1763.777667	2	0.5
1536	1770.444333	2	0.5
1234.222333	1830.666667	2	0.5
988.3333333	2353.333333	2	0.5
908	2468.111	2	0.5
629	1741.666667	2	0.5
595.889	1744.777667	2	0.5
679	1698.222333	2	0.5
733.5556667	1605.444333	2	0.3
996.2223333	1210.111	2	0.5
1220.777667	896.889	2	0.5
1319.555667	1014.555667	2	0.3
1440.889	896.5556667	2	0.7
1422.111	963.7776667	2	0.7
1572.889	906.111	2	0.3
1475.777667	883.889	2	0.5
1710.111	1062.222333	2	0.5
1480.777667	1104.777667	2	0.3
1431.777667	1290.666667	2	0.3
1666.666667	1544.111	2	0.3
1617.889	1678.111	2	0.5
2384.555667	1629.333333	2	0.7
2729.777667	1302.444333	2	0.5
2968.333333	1072.777667	2	0.5
2968.111	1047	2	0.5
3256.222333	1898.666667	2	0.3
3256.666667	1847.111	2	0.5
3321.333333	1938	1	1
3372.777667	1981.222333	1	1
3131.889	1899.444333	1	1
3125.889	1914.111	1	1
3149.555667	1759	1	1
3003	1776.333333	1	1
3059.333333	1767.222333	1	1
3103.333333	1544.889	1	1
3245.111	1521.222333	1	1
3212	1344.889	1	1
3163.444333	1123.111	1	1
3179.222333	1089.333333	1	1
3186.111	1162.666667	1	1
3091.666667	1168.333333	1	1
3069.777667	1075.444333	1	1
3027	1013.666667	1	1
3001.111	1434.111	1	1
2952.111	1513.444333	1	1
2836.333333	1574.222333	1	1
2741.889	1494.666667	1	1
2604.222333	1466.222333	1	1
2604.444333	1381.222333	1	1
2438.111	1553	1	1
2233.555667	1660	1	1
2152.222333	1574.222333	1	1
2209.889	1357.666667	1	1
1757.222333	1643.666667	1	1
1779	1645.666667	1	1
1826	1593	1	1
1877.333333	1479.222333	1	1
2037.777667	1387.444333	1	1
2118.889	1110.889	1	1
2049.777667	1114.889	1	1
2198.444333	1112.666667	1	1
2097.222333	964.5556667	1	1
2019.444333	907.6666667	1	1
2215	899.7776667	1	1
2143.555667	854.6666667	1	1
1779.666667	866	1	1
1575.333333	869	1	1
1338.222333	908.3333333	1	1
974	1009.555667	1	1
1105.555667	975.3333333	1	1
1016.666667	1282.111	1	1
1065.333333	1738.222333	1	1
1114	2275.333333	1	1
1022.555667	2452.444333	1	1
985.889	2459.777667	1	1
895.889	2583.555667	1	1
779.5556667	2484.222333	1	1
644.3333333	2479.777667	1	1
697	2271.333333	1	1
656.5556667	2281.777667	1	1
631.7776667	2192.666667	1	1
572.7776667	2159.111	1	1
474	2032.666667	1	1
606.5556667	1979	1	1
623.889	1986.333333	1	1
724.7776667	1916.111	1	1
674.889	1946.889	1	1
613	1775.444333	1	1
797.889	1765.333333	1	1
776	1580	1	1
573.7776667	1549.222333	1	1
588.4443333	1582.777667	1	1
529.4443333	1673.222333	1	1
545.2223333	1649.444333	1	1
838.2223333	1450.222333	1	1
787.7776667	1423.777667	1	1
876.7776667	1450.777667	1	1
901.2223333	1370.111	1	1
964.111	1402.777667	1	1
972.3333333	1413.666667	1	1
809.4443333	1276	1	1
851.4443333	1265.333333	1	1
902.2223333	1304.666667	1	1
864.6666667	1116.889	1	1
1101.555667	1182.444333	1	1
1021.777667	1157.333333	1	1
1148.889	1148.889	1	1
1202.666667	1077.111	1	1
1071.889	953.4443333	1	1
3508.111333	1247.889	1	1
3464.778	1281.222333	1	1
3587.778	1104	1	1
3322	1132.111	1	1
3255.333333	1187.333333	1	1
3276.666667	1154.222333	1	1
3183.666667	1038.333333	1	1
3049.555667	1181	1	1
3177.333333	1321.333333	1	1
2966.777667	1382.222333	1	1
3152.555667	1472.555667	1	1
3177.222333	1507.889	1	1
3057	1506.555667	1	1
2941.777667	1711.666667	1	1
2812.889	1706.555667	1	1
2895	1804.222333	1	1
2690	1412.111	1	1
2733.222333	1324.111	1	1
2779.555667	1120.333333	1	1
2927.111	994.6666667	1	1
2958	980	1	1
2619.444333	960.3333333	1	1
2604.333333	939.889	1	1
2451.555667	1114.666667	1	1
2550	1229.333333	1	1
2542.444333	1177.777667	1	1
2231	1563.777667	1	1
2201.222333	1534.222333	1	1
2133.889	1168.777667	1	1
2138.777667	1142.555667	1	1
2240	971.5556667	1	1
2219.111	940.4443333	1	1
2237.111	946.2223333	1	1
2233.889	875.7776667	1	1
2272.333333	901.111	1	1
2012.222333	1062.777667	1	1
2068	1183.333333	1	1
2034.666667	1177.777667	1	1
2078.666667	1222.666667	1	1
2045.777667	1215.555667	1	1
1918.555667	1417.777667	1	1
1945.555667	1540	1	1
767.7776667	2228.777667	1	1
947.7776667	2254.222333	1	1
1171.444333	1877.444333	1	1
1124.777667	1866.111	1	1
1169.444333	1856.555667	1	1
1280	1747.555667	1	1
1314.444333	1762.222333	1	1
1340.222333	1746.444333	1	1
1151.777667	1713.111	1	1
1273	1630.666667	1	1
1087.666667	1658	1	1
1265.111	1532.777667	1	1
1289.111	1352.666667	1	1
1490.444333	1370	1	1
1558.889	1125.111	1	1
1514	1138.666667	1	1
1602.555667	992.7776667	1	1

limite de lesion
x(um)	y(um)
493.3333333	2743.666667
484	2679.666667
481.3333333	2651.666667
482.6666667	2558.333333
476	2466.333333
453.3333333	2413
474.6666667	2359.666667
462	2290.666667
458	2221.666667
437	2142.666667
428	2068.666667
421	2026.666667
407	1967.666667
434	1920.666667
432	1857.666667
437	1785.666667
445	1740.666667
476	1658.666667
495	1616.666667
514	1563.666667
561	1485.666667
615	1429.666667
638	1392.666667
665	1335.666667
709	1272.666667
731	1224.666667
756	1152.666667
785	1136.666667
853	1051.666667
901	983.6666667
979	931.6666667
1031	890.6666667
1082	869.6666667
1131	812.6666667

limite superior
x(um)	y(um)
1204	811.6666667
1255	810.6666667
1312	824.6666667
1386	810.6666667
1467	816.6666667
1533	797.6666667
1597	800.6666667
1639	800.6666667
1659	777.6666667
1730	787.6666667
1763	787.6666667
1792	842.6666667
1804	876.6666667
1846	884.6666667
1860	830.6666667
1918	809.6666667
2026	838.6666667
2087	855.6666667
2184	823.6666667
2246	807.6666667
2277	794.6666667
2326	812.6666667
2383	810.6666667
2392	773.6666667
2436	749.6666667
2481	767.6666667
2489	796.6666667
2512	823.6666667
2536	834.6666667
2615	862.6666667
2672	905.6666667
2729	887.6666667
2755	864.6666667
2818	870.6666667
2853	894.6666667
2879	925.6666667
2909	947.6666667
2954	970.6666667
3014	941.6666667
3055	980.6666667
3116	964.6666667
3189	984.6666667
3263	946.6666667
3317	968.6666667
3342	1008.666667
3362	1047.666667
3379	1077.666667
3408	1093.666667
3481	1081.666667
3544	1038.666667
3588	1044.666667
3627	1045.666667

limite posterior
x(um)	y(um)
3631	1056.666667
3485	1452.666667
3569	1488.666667
3376	2014.666667

limite inferrior
x(um)	y(um)
3365	2025.666667
3307	2017.666667
3212	1980.666667
3156	1944.666667
3117	1891.666667
3077	1912.666667
3033	1911.666667
2980	1914.666667
2903	1905.666667
2828	1868.666667
2776	1842.666667
2736	1817.666667
2715	1802.666667
2651	1779.666667
2524	1753.666667
2418	1738.666667
2386	1748.666667
2280	1729.666667
2114	1722.666667
2000	1720.666667
1891	1720.666667
1849	1726.666667
1761	1744.666667
1678	1770.666667
1615	1781.666667
1561	1805.666667
1484	1859.666667
1382	1919.666667
1331	1987.666667
1303	2085.666667
1284	2142.666667
1252	2219.666667
1208	2282.666667
1173	2352.666667
1116	2416.666667
1060	2476.666667
980	2549.666667
929	2593.666667
881	2635.666667
814	2685.666667
734	2711.666667
662	2751.666667
603	2770.666667
518	2773.666667
490	2754.666667

limite vasos
x(um)	y(um)
674.111	2668.111333
655.889	2670.333333
648.7776667	2667.666667
645.2223333	2654.333333
654.111	2641.444667
655.4443333	2632.111333
673.2223333	2621.444667
680.7776667	2617.889
690.111	2631.222333
693.2223333	2652.111333
682.5556667	2659.222333

limite vasos
x(um)	y(um)	
617.6666667	2708.111333
631	2701
630.111	2690.778
619.4443333	2683.222333
610.111	2689.889
601.6666667	2699.666667
613.6666667	2709.889

limite vasos
x(um)	y(um)	
571	2657.889
575	2643.666667
571.889	2634.778
580.3333333	2632.555667
588.3333333	2629.444667
587	2619.222333
604.3333333	2618.778
620.7776667	2617
628.3333333	2604.111333
631.4443333	2588.111333
610.111	2583.666667
597.6666667	2589.444667
581.6666667	2597.444667
571	2607.222333
560.3333333	2615.222333
535	2610.333333
507.4443333	2598.778
498.5556667	2594.333333
496.3333333	2611.666667
497.2223333	2630.333333
507	2638.778
532.3333333	2644.111333
543	2642.333333
534.5556667	2651.222333
543	2665.889
559.4443333	2666.778

limite vasos
x(um)	y(um)	
507.4443333	2697.889
493.6666667	2692.555667
492.3333333	2702.333333
501.6666667	2718.778
517.2223333	2726.333333
536.7776667	2737.889
546.111	2754.333333
567.889	2762.777667
587	2749.444333
602.111	2740.111
601.6666667	2725
592.7776667	2714.778
571.4443333	2697.444667
551.4443333	2687.666667
537.2223333	2682.778
522.5556667	2695.222333
519.4443333	2705.444667

limite vasos
x(um)	y(um)	
712.3333333	2675.666667
698.111	2682.333333
693.6666667	2692.555667
689.6666667	2702.778
703	2703.666667
715.889	2695.222333
723	2690.333333
721.6666667	2685

limite vasos
x(um)	y(um)	
518.6666667	2581.444667
528	2585.889
537.7776667	2577.889
544.4443333	2572.111333
556	2554.778
548.889	2545
533.3333333	2531.666667
526.6666667	2519.222333
512.4443333	2523.222333
512.889	2530.778
508	2549
513.3333333	2563.222333
514.6666667	2576.555667

limite vasos
x(um)	y(um)	
509.3333333	2488.111333
516.889	2487.666667
524.889	2477
526.6666667	2461
526.6666667	2450.778
511.5556667	2452.111333
502.6666667	2466.333333
494.2223333	2466.333333
488	2474.333333
493.7776667	2480.555667
497.7776667	2484.555667

limite vasos
x(um)	y(um)	
534.6666667	2362.333333
528	2370.333333
520	2377
511.111	2373
506.2223333	2381.444667
511.111	2389
522.6666667	2391.666667
544	2396.555667
557.3333333	2386.333333
566.2223333	2378.333333
557.3333333	2366.778
548.889	2361.889

limite vasos
x(um)	y(um)	
540	2413.444667
527.5556667	2407.222333
512.889	2409.889
509.7776667	2422.333333
514.2223333	2433
525.7776667	2437.444667
540	2433.444667

limite vasos
x(um)	y(um)	
752.889	2496.111333
745.3333333	2489
737.3333333	2490.333333
735.5556667	2496.111333
739.111	2504.555667
746.2223333	2512.111333
755.111	2501.444667

limite vasos
x(um)	y(um)	
517	2362
532.111	2355.778
550.7776667	2351.778
573.4443333	2335.778
577.4443333	2312.666667
555.2223333	2298.889
539.2223333	2287.778
531.2223333	2283.333333
516.111	2291.778
506.7776667	2313.111333
512.111	2330.444667
522.3333333	2346.444667
509.4443333	2355.778

limite vasos
x(um)	y(um)	
627.7776667	2264.778
627.3333333	2248.777667
616.6666667	2243
595.7776667	2244.777667
591.7776667	2262.555667
598.4443333	2270.555667
614	2276.778

limite vasos
x(um)	y(um)	
518	2183.889
503.7776667	2174.111
493.111	2173.222333
480.2223333	2178.555667
470	2185.222333
475.7776667	2203.889
483.7776667	2206.111
497.111	2207
510	2203.889
515.7776667	2198.111

limite vasos
x(um)	y(um)	
536.2223333	2171.889
538	2154.555667
530	2150.111
518.4443333	2148.333333
521.111	2167

limite vasos
x(um)	y(um)	
670.4443333	2153.666667
658.889	2154.111
651.7776667	2164.333333
657.5556667	2177.222333
678	2177.666667
690.4443333	2186.111
706	2179.444333
715.7776667	2169.666667
715.3333333	2158.111
692.2223333	2155

limite vasos
x(um)	y(um)	
534.7776667	2039.222333
534.7776667	2024.111
521	2008.555667
508.5556667	2010.333333
503.2223333	2026.333333
497	2038.333333
