experiment

dia 3

espesor 100 //um

rata 1

area de lesion 1636400 //um2

celulas
x(um)	y(um)	Tipo	Pb
1024.667	1154.667	4	1
1086	1134.667	4	1
1132	1158	4	1
1072	1088	4	1
1202.667	1070.667	4	1
1224	1082.667	4	1
1238	1220	4	1
1071.333	1208	4	1
1035.333	1192.667	4	1
979.333	1280.667	4	1
950	1344.667	4	1
1168.667	1257.667	4	1
1108.667	1281.667	4	1
1124.667	1372.333	4	1
1193.333	1307	4	1
429.333	1461.667	4	1
564.667	1481	4	1
889.333	1521	4	1
940.667	1511	4	1
930	1435.667	4	1
1035.333	1407	4	1
1169.333	1459.667	4	1
1128	1453	4	1
938	1627.667	4	1
1016	1505	4	1
979.333	1487	4	1
1023.333	1464.333	4	1
1086.667	1514.333	4	1
996	1579.667	4	1
986	1674.333	4	1
518	1634.333	4	1
614	1638.333	4	1
512.667	1545.667	4	1
736.667	1693	4	1
679.333	1783.667	4	1
830.667	1822.333	4	1
904	1813.667	4	1
1091.333	1719.667	4	1
1202.667	1731	4	1
1070	1788.333	4	1
1361.333	1568.333	4	1
1394.667	1603.667	4	1
1238	1650.333	4	1
1293.333	1483	4	1
1087	1404.333	4	1
1066.333	1235	4	1
1119	1069.667	4	1
995.333	1130.667	4	1
1167	1032	4	1
1332	1121.333	4	1
1341.333	1186	4	1
1383	1240.667	4	1
1225	1114.333	4	1
1266	1095.667	4	1
1310	1077.333	4	1
1164	1351	4	1
1113.333	1516.333	4	1
1154.333	1514.333	4	1
1342	1450.667	4	1
1371.667	1430.333	4	1
1045.333	1534.667	4	1
1011	1634.667	4	1
1037	1816	4	1
1125	1873.667	4	1
883.333	1901	4	1
802	1837	4	1
812	1776.333	4	1
884	1499.667	4	1
958	1445.333	4	1
1099.333	1490.333	4	1
1054	1454.333	4	1
931.333	1295.333	4	1
878	1274.333	4	1
789	1386.667	4	1
852	1470.333	4	1
665.667	1522	4	1
616	1486	4	1
1004.667	1740.333	4	1
1315.333	1839	4	1
1398.333	1848.333	4	1
1375.667	1794.333	4	1
1343.667	1739.333	4	1
1277.333	1740.667	4	1
1282.333	1800.667	4	1
1343.333	1987.667	4	1
1273.667	1907	4	1
1328.667	1906.333	4	1
1461.667	2052	4	1
1449	2030	4	1
1534.667	1876	4	1
1511.667	1830.333	4	1
1411.667	1692.667	4	1
1577.333	1664.667	4	1
1571.667	1723	4	1
1527.667	1580	4	1
1421.333	1562.667	4	1
1535	1461	4	1
1538.333	1429.333	4	1
1454	1470.667	4	1
1539	1362.667	4	1
1605.333	1374.667	4	1
1603.111	1108	4	1
1476.889	1207.556	4	1
1525.778	1020.889	4	1
1403.556	1031.111	4	1
1408	1111.111	4	1
1237	1414.889	4	1
1303.222	1386.444	4	1
1289.889	1326.889	4	1
1206.333	1559.778	4	1
1206.333	1524.667	4	1
1117.444	1687	4	1
1275.222	1647.889	4	1
1305	1661.222	4	1
1237.444	1552.778	4	1
1300.111	1568.778	4	1
1683.333	1081.778	4	1
1495.333	1041.444	4	1
1904.556	1208.222	4	1
1551	1342.444	4	1
1614.222	1575.667	4	1
1424	1780.444	4	1
1392.889	1768	4	1
1376.889	1720.889	4	1
1606.111	1921.111	4	1
1584.778	1938	4	1
1660.333	1749.667	4	1
1646.556	1043.889	4	1
1279.778	1142.444	4	0.3
1204.778	1363.667	4	0.3
1307	1416.111	4	0.3
1357.222	1398.778	4	0.7
1495.889	1329.444	4	0.7
1424.333	1291.222	4	0.7
1186.444	1619.889	4	0.5
1230.444	1583.889	4	0.7
1048.444	1520.667	4	0.7
847.778	1391.444	4	0.5
857.556	1408.333	4	0.5
1010.444	1367.889	4	0.5
1080.667	1303.444	4	0.5
946	1585.222	4	0.5
895.778	1571.444	4	0.7
638	1671.889	4	0.3
557.111	1590.111	4	0.7
504.111	1361.333	4	0.5
557	1410.222	4	0.7
1536.556	2005.556	4	0.3
1413	1951.778	4	0.3
1619.222	1997.111	4	0.3
1584.556	2070.444	4	0.3
1536.111	2055.778	4	0.5
1484.556	1788.222	4	0.7
1484.111	1731.444	4	0.3
1474.778	1687.444	4	0.7
1439.222	1693.222	4	0.5
1589	1827.889	4	0.5
1631.222	1693.222	4	0.7
1550.111	1647.889	4	0.5
1612.333	1655.444	4	0.5
1454.111	1610.556	4	0.5
1365.222	1604.333	4	0.7
1321.111	1534.444	4	0.7
1266.889	1510	4	0.3
1358.444	1506	4	0.7
1455.778	1504.667	4	0.7
1203.111	1253.111	4	0.3
1375	1066.333	4	0.3
1277.222	1053	4	0.5
1160	1183.111	4	0.3
1131.111	1187.111	4	0.7
1026.667	1106.222	4	0.3
1083	1606.556	4	0.3
858.111	1403	4	0.3
1036.667	1607.778	4	0.5
1146.444	1569.556	4	0.5
1718.667	1498.889	4	0.5
1599.556	1294.778	4	0.5
1725.333	1132.778	4	0.5
1844.444	1133.222	4	0.5
1863.111	1167.889	4	0.7
1816.444	1160.333	4	0.7
1837.333	1097.667	4	0.3
1727.556	1091.222	4	0.7
1590.222	1248.889	4	0.7
2098.333	1627.333	4	0.3
1703.556	1769	4	0.3
1719.556	1931.667	4	0.7
1723.111	1990.333	4	0.5
1765.333	2009.889	4	0.7
1889.333	1616.667	4	0.3
2064.444	1825.778	4	0.3
2024.111	1293.778	4	0.3
2013.889	1205.333	4	0.3
1997.444	1110.667	4	0.5
2074.333	1123.556	4	0.7
1336	2020.667	4	0.3
1362.667	2029.333	4	0.7
1398.667	2008.667	4	0.5
1264	1957.333	4	0.5
1299.333	2002.667	4	0.5
1223.333	1870.667	4	0.5
1243.333	1826.667	4	0.5
1116	1771.333	4	0.7
908.667	1956.667	4	0.7
840.667	1914.667	4	0.3
984	1934.667	4	0.7
934	1848	4	0.7
1433.333	1885.333	4	0.3
1673.333	2050.667	4	0.3
1852	1964	4	0.5
1890.667	1672	4	0.5
1914	1691.333	4	0.5
1754.667	1860	4	0.5
2228	1306	4	0.7
2168.667	1341.333	4	0.3
2046	1322.667	4	0.7
2187.333	1880.667	4	0.5
2170.667	1849.333	4	0.7
2326	1988.667	4	0.3
2313.333	2092	4	0.3
2310.667	2045.333	4	0.3
2211.333	2150.667	4	0.3
2042.667	2118	4	0.5
1813.333	2062	4	0.7
1749.333	2064	4	0.5
1812.667	1992	4	0.5
2026.667	1964.667	4	0.5
1853.333	1888	4	0.5
1449.333	1403.333	4	0.7
1699.333	1308.667	4	0.3
1734	1240.667	4	0.7
1642	1174.667	4	0.5
1986	1311.333	4	0.7
1858	1749.333	4	0.3
2176	2004.667	4	0.3
1936	1828	4	0.3
2290	1294	4	0.3
2258.667	1254.667	4	0.5
2401.333	2263.333	4	0.7
2670.667	2271.333	4	0.3
2632	2463.333	4	0.3
2658.667	2466.667	4	0.3
2572	2455.333	4	0.3
2422	2361.333	4	0.3
1946.667	2043.333	4	0.5
1628	1875.333	4	0.7
1627.333	1939.333	4	0.7
1610	1966	4	0.7
1512	1878.667	3	1
1745.333	1777.333	3	1
1466.667	1866.667	3	1
1305.333	1926	3	1
2119.333	2103.333	3	1
2134	2151.333	3	1
2089.333	1918	3	1
1973.333	1864	3	1
1896	1936.667	3	1
2152.667	1668.667	3	1
1952	1740.667	3	1
1978.667	1702.667	3	1
1804.667	1614.667	3	1
1812.667	1662.667	3	1
1766.667	1692	3	1
1799.333	1867.333	3	1
1711.333	1440.667	3	1
1326	1286.667	3	1
1618	1160	3	1
1415.333	1228	3	1
1472	1104	3	1
1558.667	1158	3	1
1670	1014.667	3	1
1636	1006	3	1
1490	1344	3	1
1282	1243.333	3	1
1258.667	1316	3	1
1245.333	1450.667	3	1
1269.333	1454.667	3	1
1212.667	1476	3	1
1216.667	1437.333	3	1
1604	1674	3	1
1606	1634	3	1
1660	1540	3	1
1563.333	1644.667	3	1
1711.333	1816.667	3	1
1632.667	1749.333	3	1
1816	2020	3	1
1778	1906	3	1
1945.333	1794	3	1
2168	1804.667	3	1
2206.667	1817.333	3	1
1876.667	1560	3	1
2093.333	1442.667	3	1
2018.667	1451.333	3	1
2070.667	1593.333	3	1
1970	1248.667	3	1
2165.333	1116	3	1
2320	1098	3	1
2301.333	1096	3	1
2545.333	1210	3	1
1875.333	1278.667	3	1
1838.667	1267.333	3	1
1939.333	1642	3	1
2122.667	1715.333	3	1
2391.333	1846	3	1
2109.333	2014.667	3	1
2090.667	2108	3	1
1976	2104	3	1
2460	2114	3	1
2452.667	2146.667	3	1
2448.667	2054	3	1
2518.667	2338	3	1
2445.333	2331.333	3	1
2242	2231.333	3	1
2249.333	2295.333	3	1
2422	2304.667	3	1
2360	2225.333	3	1
2446	2435.333	3	1
2711.333	2606	3	1
2746	2538	3	1
2702.667	2544.667	3	1
2702.667	2374	3	1
2714.667	2431.333	3	1
2847.333	2502.667	3	1
2867.333	2421.333	3	1
2416	2118	3	1
2238.667	2109.333	3	1
2230.667	2081.333	3	1
2179.333	2031.333	3	1
2583.333	1986	3	1
2667.333	2124	3	1
2626	2114	3	1
2657.333	2178	3	1
2620.667	2178	3	1
2104	1760	3	1
2200	1697.333	3	1
