experiment

dia 7

espesor 100 //um

rata 1

area de lesion 1615594.667 //um2

celulas
x(um)	y(um)	Tipo	Pb
1851.667	1772.333	5	1
1991.667	1764.333	5	1
1991	1793.667	5	1
1997	1816.667	5	1
1838.333	1803.333	5	1
1246	1910.333	5	1
1323	1805	5	1
1258.667	1940	5	1
1286	1953.667	5	1
1309	2010.667	5	1
1051.333	2136.333	5	1
1162	2192	5	1
1112.333	2278.333	5	1
868	2160	5	1
843.667	2163.333	5	1
678.667	2013	5	1
619.333	2016.333	5	1
547.667	2050.333	5	1
579.667	2039.667	5	1
712.333	2136.667	5	1
721.667	2118.333	5	1
731	2197.333	5	1
837.333	2267	5	1
1241.333	2230	5	1
1232	2265	5	1
1287.333	2338.667	5	1
1354.667	2348.667	5	1
1489	2171.333	5	1
1380.667	2131	5	1
1427	2124	5	1
1324.333	2093	5	1
2087	2029	5	1
2135	1741	5	1
2014	1720.667	5	1
2125	1671.667	5	1
2137	1544.333	5	1
2166.333	1535.667	5	1
2268.667	1631.333	5	1
2355	1670.333	5	1
2315.667	1624.333	5	1
2383	1551.333	5	1
2275.667	1397	5	1
2196.667	1583.333	5	1
2040.333	1754.667	5	1
1718.333	1918	5	1
1696.667	2021	5	1
1422	2055.333	5	1
1515.667	2243.667	5	1
1583.667	2117	5	1
1352.333	1967	5	1
1447	1967	5	1
1226.667	1682.333	5	1
1370.667	1701	5	1
1430.333	1732.667	5	1
1489.667	1698	5	1
1546	1817	5	1
1065.333	1914	5	1
1144	2015	5	1
1207	2314.667	5	1
1142	2296	5	1
961.667	2243.333	5	1
817	2077	5	1
930	2058.333	5	1
510.333	2095.333	5	1
676.333	2050.333	5	0.5
708.667	2055.333	5	0.5
734	2039.333	5	0.5
1299.667	2217	5	0.3
1300.667	2049.333	5	0.7
1090	1805.333	5	0.7
1209.667	1858.667	5	0.5
1276	1758.667	5	0.3
1272.333	1737.333	5	0.7
1884.667	1836	5	0.5
2326.667	1352.667	5	0.5
2300.667	1423	5	0.7
2271.333	1453.667	5	0.3
2172	1410	5	0.5
2316.333	2175.333	5	0.7
2260.333	2036	5	0.5
2217	2020.667	5	0.3
2224.667	1847	5	0.5
